OBJECTID,Type,Mgt_Area,Comments,Shape_Leng
295,Double Track,Goddard Park,Bridle Path,394.783461086
296,Double Track,Goddard Park,Bridle Path,460.448020079
297,Double Track,Goddard Park,Bridle Path,517.95978325
298,Double Track,Goddard Park,Bridle Path,648.63311008
299,Double Track,Goddard Park,Bridle Path,419.181545048
300,Double Track,Goddard Park,Bridle Path,1541.91175028
301,Double Track,Goddard Park,Bridle Path,1385.28209191
302,Double Track,Goddard Park,Bridle Path,629.356773134
303,Double Track,Goddard Park,Bridle Path,624.351793499
304,Double Track,Goddard Park,Bridle Path,708.60823038
305,Double Track,Goddard Park,Bridle Path,478.82907998
306,Double Track,Goddard Park,Bridle Path,534.506003155
307,Double Track,Goddard Park,Bridle Path,623.766939719
308,Double Track,Goddard Park,Bridle Path,683.438390909
309,Double Track,Goddard Park,Bridle Path,193.949503224
310,Double Track,Goddard Park,Bridle Path,2427.3819484
311,Double Track,Goddard Park,Bridle Path,380.027137998
312,Double Track,Goddard Park,Bridle Path,567.259235217
313,Double Track,Goddard Park,Bridle Path,973.152275181
314,Double Track,Goddard Park,Bridle Path,261.379379396
315,Double Track,Goddard Park,Bridle Path,1429.97761961
316,Double Track,Goddard Park,Bridle Path,747.991407987
317,Double Track,Goddard Park,Bridle Path,1194.37667549
318,Double Track,Goddard Park,Bridle Path,691.100332635
319,Double Track,Goddard Park,Bridle Path,109.568536161
320,Double Track,Goddard Park,Bridle Path,449.402856177
321,Double Track,Goddard Park,Bridle Path,600.619214877
322,Double Track,Goddard Park,Bridle Path,89.6389663044
323,Double Track,Goddard Park,Bridle Path,2334.65761191
324,Double Track,Goddard Park,Bridle Path,1177.03713652
325,Double Track,Goddard Park,Bridle Path,1514.78282966
326,Double Track,Goddard Park,Bridle Path,201.17633233
327,Double Track,Goddard Park,Bridle Path,536.877778342
328,Double Track,Goddard Park,Bridle Path,529.766328147
329,Double Track,Goddard Park,Bridle Path,1958.03247473
330,Double Track,Goddard Park,Bridle Path,377.086874407
331,Single Track,Goddard Park,Bridle Path,63.2900059544
332,Double Track,Goddard Park,Bridle Path,245.489124289
